model,layer,probe_only_auroc,length_word_auroc,joint_auroc,probe_coef,probe_pvalue,length_coef,length_pvalue
phi3,17,0.98391875,0.973346875,0.9832812499999999,3.638927889753594,6.661338147750939e-16,1.6269735908276393,0.006852620792452191
phi3,18,0.9851499999999999,0.973346875,0.9847875,3.9941022650961524,0.0,1.3330538978993165,0.02353024227990841
phi3,19,0.9864875,0.973346875,0.9861187500000002,4.234336925420068,1.1102230246251565e-15,1.2275392611713387,0.03675685536638018
phi3,20,0.9872875,0.973346875,0.9868,4.317648083498712,1.1102230246251565e-15,1.0904587923754108,0.062473010345830415
phi3,21,0.9868499999999999,0.973346875,0.98648125,4.370435171155613,8.881784197001252e-16,1.029309511313593,0.07740609457564096
phi3,22,0.9870812499999999,0.973346875,0.9867187500000001,4.573754875470684,8.881784197001252e-16,1.0011590933625738,0.09273401351813759
phi3,23,0.98669375,0.973346875,0.9861812499999999,4.446626653540458,1.7763568394002505e-15,1.029315813555997,0.0924382641621262
phi3,24,0.98656875,0.973346875,0.98618125,4.3828914362199125,1.5543122344752192e-15,1.034730890745751,0.08704262197667156
phi3,25,0.9859062500000001,0.973346875,0.9854,4.24255450721492,2.6645352591003757e-15,1.0774826797456156,0.07420401550736111
phi3,26,0.9868187500000001,0.973346875,0.9861,4.5182723346746885,1.3322676295501878e-15,0.9403395165377537,0.11189771942670745
phi3,27,0.9863937500000001,0.973346875,0.98598125,4.71122260354297,3.3306690738754696e-15,0.7830226755780356,0.183024307343165
phi3,28,0.9847312500000001,0.973346875,0.9842125,4.556577921473012,3.774758283725532e-15,0.9813473513617336,0.1074258699113897
phi3,29,0.9856312500000001,0.973346875,0.985125,4.3751469265024205,1.7763568394002505e-15,0.8807907533799355,0.14810694032659688
phi3,30,0.9846375,0.973346875,0.98438125,4.278024105776498,5.773159728050814e-15,1.0126690628012653,0.10458325769012666
phi3,31,0.984975,0.973346875,0.984325,4.193865731409901,1.9984014443252818e-15,1.2015036290316914,0.05421274681140442
phi3,32,0.98546875,0.973346875,0.984875,4.023306436966354,4.218847493575595e-15,1.6405519274012796,0.014216813311993981
llama,0,0.9717749999999998,0.973346875,0.9806687499999999,2.1899770063139163,1.1080025785759062e-13,4.046255036708057,1.2561951479028721e-11
