model,layer,bin,bin_lo,bin_hi,n,probe_auroc,length_auroc
qwen,36,3,10.0,44.0,193,0.578125,0.453125
phi3,0,0,1.0,2.0,283,0.4956043956043956,0.5362637362637362
phi3,0,1,2.0,4.0,118,0.7175925925925926,0.6657407407407407
phi3,0,2,4.0,10.0,206,0.9258274231678486,0.7386229314420805
phi3,0,3,10.0,44.0,193,0.890625,0.453125
phi3,1,0,1.0,2.0,283,0.39157509157509157,0.5362637362637362
phi3,1,1,2.0,4.0,118,0.7601851851851852,0.6657407407407407
phi3,1,2,4.0,10.0,206,0.9932033096926715,0.7386229314420805
phi3,1,3,10.0,44.0,193,0.9427083333333334,0.453125
phi3,2,0,1.0,2.0,283,0.4402930402930403,0.5362637362637362
phi3,2,1,2.0,4.0,118,0.8194444444444444,0.6657407407407407
phi3,2,2,4.0,10.0,206,0.9961583924349882,0.7386229314420805
phi3,2,3,10.0,44.0,193,0.8125,0.453125
phi3,3,0,1.0,2.0,283,0.4296703296703297,0.5362637362637362
phi3,3,1,2.0,4.0,118,0.7768518518518519,0.6657407407407407
phi3,3,2,4.0,10.0,206,0.9985224586288416,0.7386229314420805
phi3,3,3,10.0,44.0,193,0.9427083333333334,0.453125
phi3,4,0,1.0,2.0,283,0.4329670329670329,0.5362637362637362
phi3,4,1,2.0,4.0,118,0.7620370370370371,0.6657407407407407
phi3,4,2,4.0,10.0,206,0.9932033096926713,0.7386229314420805
phi3,4,3,10.0,44.0,193,0.875,0.453125
phi3,5,0,1.0,2.0,283,0.4600732600732601,0.5362637362637362
phi3,5,1,2.0,4.0,118,0.7657407407407408,0.6657407407407407
phi3,5,2,4.0,10.0,206,0.9940898345153664,0.7386229314420805
phi3,5,3,10.0,44.0,193,0.9895833333333334,0.453125
phi3,6,0,1.0,2.0,283,0.5164835164835164,0.5362637362637362
phi3,6,1,2.0,4.0,118,0.8046296296296296,0.6657407407407407
phi3,6,2,4.0,10.0,206,0.9943853427895981,0.7386229314420805
phi3,6,3,10.0,44.0,193,0.9895833333333334,0.453125
phi3,7,0,1.0,2.0,283,0.5597069597069597,0.5362637362637362
phi3,7,1,2.0,4.0,118,0.7916666666666667,0.6657407407407407
phi3,7,2,4.0,10.0,206,0.9846335697399528,0.7386229314420805
phi3,7,3,10.0,44.0,193,0.9947916666666666,0.453125
phi3,8,0,1.0,2.0,283,0.5791208791208792,0.5362637362637362
phi3,8,1,2.0,4.0,118,0.8435185185185186,0.6657407407407407
phi3,8,2,4.0,10.0,206,0.991725768321513,0.7386229314420805
phi3,8,3,10.0,44.0,193,0.9947916666666666,0.453125
phi3,9,0,1.0,2.0,283,0.5626373626373626,0.5362637362637362
phi3,9,1,2.0,4.0,118,0.8787037037037037,0.6657407407407407
phi3,9,2,4.0,10.0,206,0.9949763593380614,0.7386229314420805
phi3,9,3,10.0,44.0,193,1.0,0.453125
phi3,10,0,1.0,2.0,283,0.5736263736263736,0.5362637362637362
phi3,10,1,2.0,4.0,118,0.9333333333333333,0.6657407407407407
phi3,10,2,4.0,10.0,206,0.9952718676122931,0.7386229314420805
phi3,10,3,10.0,44.0,193,0.9947916666666666,0.453125
phi3,11,0,1.0,2.0,283,0.5721611721611721,0.5362637362637362
phi3,11,1,2.0,4.0,118,0.9296296296296297,0.6657407407407407
phi3,11,2,4.0,10.0,206,0.9964539007092199,0.7386229314420805
phi3,11,3,10.0,44.0,193,1.0,0.453125
phi3,12,0,1.0,2.0,283,0.5351648351648353,0.5362637362637362
phi3,12,1,2.0,4.0,118,0.9083333333333332,0.6657407407407407
phi3,12,2,4.0,10.0,206,0.9934988179669031,0.7386229314420805
phi3,12,3,10.0,44.0,193,0.9947916666666666,0.453125
phi3,13,0,1.0,2.0,283,0.49633699633699635,0.5362637362637362
phi3,13,1,2.0,4.0,118,0.9046296296296297,0.6657407407407407
phi3,13,2,4.0,10.0,206,0.9858156028368794,0.7386229314420805
phi3,13,3,10.0,44.0,193,0.9895833333333334,0.453125
phi3,14,0,1.0,2.0,283,0.5131868131868131,0.5362637362637362
phi3,14,1,2.0,4.0,118,0.8962962962962964,0.6657407407407407
phi3,14,2,4.0,10.0,206,0.9911347517730497,0.7386229314420805
phi3,14,3,10.0,44.0,193,0.984375,0.453125
phi3,15,0,1.0,2.0,283,0.5846153846153845,0.5362637362637362
phi3,15,1,2.0,4.0,118,0.8935185185185186,0.6657407407407407
phi3,15,2,4.0,10.0,206,0.9932033096926715,0.7386229314420805
phi3,15,3,10.0,44.0,193,0.984375,0.453125
phi3,16,0,1.0,2.0,283,0.5087912087912089,0.5362637362637362
phi3,16,1,2.0,4.0,118,0.8972222222222221,0.6657407407407407
phi3,16,2,4.0,10.0,206,0.9952718676122931,0.7386229314420805
phi3,16,3,10.0,44.0,193,0.9739583333333334,0.453125
phi3,17,0,1.0,2.0,283,0.4805860805860806,0.5362637362637362
phi3,17,1,2.0,4.0,118,0.9166666666666667,0.6657407407407407
phi3,17,2,4.0,10.0,206,0.9952718676122931,0.7386229314420805
phi3,17,3,10.0,44.0,193,0.9895833333333334,0.453125
phi3,18,0,1.0,2.0,283,0.5278388278388279,0.5362637362637362
phi3,18,1,2.0,4.0,118,0.9166666666666666,0.6657407407407407
phi3,18,2,4.0,10.0,206,0.9988179669030732,0.7386229314420805
phi3,18,3,10.0,44.0,193,0.984375,0.453125
phi3,19,0,1.0,2.0,283,0.5622710622710623,0.5362637362637362
phi3,19,1,2.0,4.0,118,0.9416666666666667,0.6657407407407407
phi3,19,2,4.0,10.0,206,0.9973404255319149,0.7386229314420805
phi3,19,3,10.0,44.0,193,0.984375,0.453125
phi3,20,0,1.0,2.0,283,0.6014652014652014,0.5362637362637362
phi3,20,1,2.0,4.0,118,0.9407407407407407,0.6657407407407407
phi3,20,2,4.0,10.0,206,0.99822695035461,0.7386229314420805
phi3,20,3,10.0,44.0,193,0.9895833333333334,0.453125
phi3,21,0,1.0,2.0,283,0.5772893772893772,0.5362637362637362
phi3,21,1,2.0,4.0,118,0.9546296296296296,0.6657407407407407
phi3,21,2,4.0,10.0,206,0.9976359338061466,0.7386229314420805
